City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Amberley,US,2021-04-05 19:33:40,39.2048,-84.428,75.99,31,1,14.97
280,Marsa Matruh,EG,2021-04-05 19:33:40,31.3525,27.2453,66.2,55,0,9.22
281,Tiarei,PF,2021-04-05 19:33:41,-17.5333,-149.3333,84.2,70,20,4.61
282,Carnarvon,AU,2021-04-05 19:33:41,-24.8667,113.6333,75.2,83,89,12.66
283,Iquique,CL,2021-04-05 19:31:09,-20.2208,-70.1431,73.4,64,0,23.02
284,Santa Cruz,BO,2021-04-05 19:33:41,-17.8,-63.1667,82.4,69,75,12.66
285,Saint Pete Beach,US,2021-04-05 19:33:42,27.7253,-82.7412,77.0,41,1,8.05
286,Cameron Park,US,2021-04-05 19:33:42,38.6688,-120.9872,57.99,72,5,1.99
287,Bereda,ES,2021-04-05 19:33:43,43.2686,-7.5406,48.0,92,1,7.0
288,Necochea,AR,2021-04-05 19:33:43,-38.5473,-58.7368,79.0,55,0,4.0
289,Pangnirtung,CA,2021-04-05 19:33:43,66.1451,-65.7125,15.8,79,90,13.8
290,Magugu,TZ,2021-04-05 19:33:44,-4.0167,35.7667,72.52,70,100,3.22
